Question,Answer
i think you're very pretty.,thank you.
thank you.,would you have dinner with me?
would you have dinner with me?,i would like to.
i would like to.,can i pick you up friday night?
can i pick you up friday night?,what time?
what time?,eight o'clock.
eight o'clock.,that sounds great.
that sounds great.,we'll go to a french restaurant.
we'll go to a french restaurant.,i've never been to a french restaurant.
i've never been to a french restaurant.,i think you'll love the food.
i think you'll love the food.,i'm not going to eat any snails!
you have pretty eyes.,thank you. so do you.
thank you. so do you.,i wish my eyes were blue.
i wish my eyes were blue.,what's the matter with green eyes?
what's the matter with green eyes?,"nothing, except my favorite color is blue."
"nothing, except my favorite color is blue.",maybe in your next life you'll have blue eyes.
maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
but what if i'm a fish in my next life?,i think some fish have blue eyes.
i think some fish have blue eyes.,i hope i don't come back as a fish.
i hope i don't come back as a fish.,i hope i come back as a cat.
i hope i come back as a cat.,cats have beautiful eyes.
cats have beautiful eyes.,i would love to have blue cat-eyes.
i love you.,"i love you, too."
"i love you, too.",i loved you the first day i saw you.
i loved you the first day i saw you.,it was love at first sight?
it was love at first sight?,"yes, it was love at first sight."
"yes, it was love at first sight.",i didn't love you at first.
i didn't love you at first.,i know. i had to chase you for a while.
i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
"yes, you chased me and then you caught me.",now you're mine forever.
now you're mine forever.,and you're mine forever.
and you're mine forever.,we'll grow old together.
we'll grow old together.,and be happy together.
i'm in love with that girl.,have you told her?
have you told her?,of course not.
of course not.,why not?
why not?,she would laugh at me.
she would laugh at me.,how do you know?
how do you know?,because they always do.
because they always do.,maybe she's different.
maybe she's different.,they're all the same.
they're all the same.,just ask her out to dinner.
just ask her out to dinner.,and then what?
and then what?,and then she'll know that you like her.
give me a hug.,i'm not in the mood.
i'm not in the mood.,what's the matter?
what's the matter?,i saw you looking at that woman.
i saw you looking at that woman.,what woman?
what woman?,"you know, that woman with the big boobs."
"you know, that woman with the big boobs.",i was not looking at her.
i was not looking at her.,"you were, too."
"you were, too.",i'm not interested in her.
i'm not interested in her.,then why were you looking at her?
then why were you looking at her?,i was looking at something else.
i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
would you like to go on a blind date?,you must be joking.
you must be joking.,"no, i'm serious."
"no, i'm serious.",i don't want to date a blind woman.
i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
a blind date doesn't mean that she is blind!,what does it mean?
what does it mean?,a blind date is a date with someone you don't know.
a blind date is a date with someone you don't know.,why would i date someone i don't even know?
why would i date someone i don't even know?,to try something new and exciting.
to try something new and exciting.,what if i don't like her?
what if i don't like her?,then you don't date her again.
i have a date tomorrow night.,really? who with?
really? who with?,a girl i met at the market.
a girl i met at the market.,you met a girl at the supermarket?
you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
she was standing behind me in a really slow line at the checkout counter.,what did you say to her?
what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?
she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.
that was nice of you.,"she asked me how she could return the favor, so i asked her out."
"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.
did you have a date friday night?,"yes, in fact, i did."
"yes, in fact, i did.",who did you go out with?
who did you go out with?,a man i met in a coffee shop.
a man i met in a coffee shop.,where did you go?
where did you go?,we went to a nice restaurant.
we went to a nice restaurant.,anywhere else?
anywhere else?,then we went to a jazz club.
then we went to a jazz club.,that sounds like a nice date.
that sounds like a nice date.,"yes, it was pleasant."
"yes, it was pleasant.",but you won't date him again?
but you won't date him again?,"no. he was nice, but there was no chemistry."
i had the worst date the other night.,what happened?
what happened?,"first of all, he was half an hour late."
